l,t
730000,8940.692858219147
731000,8952.1010928154
732000,8963.572005748749
733000,8975.128563404083
734000,8987.50588464737
735000,8998.936232805252
736000,9010.498857498169
737000,9022.779441833496
738000,9035.749055624008
739000,9047.565479278564
740000,9059.490808010101
741000,9071.127969026566
742000,9083.041223287582
743000,9094.586600065231
744000,9106.22261762619
745000,9117.792313575745
746000,9130.247678518295
747000,9141.910177707672
748000,9153.568766355515
749000,9165.266587018967
750000,9177.914617300034
751000,9189.649828672409
752000,9201.44097852707
753000,9213.218537569046
754000,9225.78275346756
755000,9237.350804328918
756000,9249.005638360977
757000,9260.798251390457
758000,9273.622943162918
759000,9285.56616640091
760000,9297.3115837574
761000,9309.01969075203
762000,9321.820106267929
763000,9333.486221075058
764000,9345.087248325348
765000,9356.65182518959
766000,9369.33236169815
767000,9380.902827501297
768000,9392.688476800919
769000,9404.410856246948
770000,9416.107897043228
771000,9428.863067865372
772000,9440.59296798706
773000,9452.208122253418
774000,9463.86083316803
775000,9476.403352975845
776000,9487.99581003189
777000,9499.6899163723
778000,9511.328040361404
779000,9524.074601888657
780000,9535.806989192963
781000,9547.286383390427
782000,9558.963002681732
783000,9571.6117374897
784000,9583.266088724136
785000,9594.91653251648
786000,9606.554246664047
787000,9619.33458352089
788000,9630.872611999512
789000,9642.549681663513
790000,9654.207022190094
791000,9666.74933052063
792000,9678.301860332489
793000,9690.174905776978
794000,9701.964006185532
795000,9714.545749664307
796000,9726.192682743073
797000,9737.94403219223
798000,9749.822357416153
799000,9762.511706590652
800000,9774.174781560898
801000,9785.807161569595
802000,9797.509147167206
803000,9810.181101083755
804000,9821.879216432571
805000,9833.521987438202
806000,9845.099154233932
807000,9857.712913751602
808000,9869.462008237839
809000,9881.116896152496
810000,9892.852389335632
811000,9904.706901550293
812000,9917.451409816742
813000,9929.066105365753
814000,9940.787915706635
815000,9952.384595870972
816000,9965.051103830338
817000,9976.677919149399
818000,9988.282378196716
819000,9999.872450590134
820000,10012.50978922844
821000,10024.255227565765
822000,10035.914175748825
823000,10047.480859279633
824000,10060.127848148346
825000,10071.785086870193
826000,10083.508548021317
827000,10095.16449046135
828000,10107.852265834808
829000,10119.523009061813
830000,10131.282501459122
831000,10142.949098348618
832000,10155.594024896622
833000,10167.400023460388
834000,10179.096756219864
835000,10190.676010131836
836000,10203.285634279251
837000,10215.00884604454
838000,10226.685360193253
839000,10238.346827030182
840000,10251.158967018127
841000,10262.775692939758
842000,10274.500725746155
843000,10286.285241127014
844000,10299.009130716324
845000,10310.710516929626
846000,10322.47289943695
847000,10334.267651081085
848000,10346.960099935532
849000,10358.647738933563
850000,10370.313297271729
851000,10381.969257116318
852000,10394.600884914398
853000,10406.214618682861
854000,10418.000757694244
855000,10429.708929777145
856000,10441.493893146515
857000,10454.148684501648
858000,10465.843763113022
859000,10477.750037908554
860000,10490.069413423538
861000,10502.872641324997
862000,10514.57748389244
863000,10526.302836894989
864000,10538.087200403214
865000,10550.825818300247
866000,10562.503892183304
867000,10574.305524110794
868000,10586.345972537994
869000,10599.187406539917
870000,10610.905116558075
871000,10622.737681865692
872000,10634.662055015564
873000,10647.37739109993
874000,10659.105938911438
875000,10671.23379778862
876000,10683.264188289642
877000,10696.135833263397
878000,10707.960570573807
879000,10719.764369010925
880000,10731.422089338303
881000,10744.214942455292
882000,10755.841936826706
883000,10767.57982134819
884000,10779.289816856384
885000,10792.01108455658
886000,10803.622731924057
887000,10815.321655511856
888000,10826.865925073624
889000,10839.521534919739
890000,10851.148678302765
891000,10862.967096805573
892000,10874.796140432358
893000,10887.683159351349
894000,10899.324901342392
895000,10910.92354440689
896000,10922.515913248062
897000,10934.37178182602
898000,10947.040858983994
899000,10958.666708946228
