r,l,t
3737.3524475097656,518,1533.083827495575
640.2824618220329,78,1534.0959005355835
4149.978933393955,486,1540.0162179470062
639.3338949680328,83,1541.0492577552795
3650.084324359894,490,1547.0514221191406
641.2310290932655,81,1548.1100709438324
643.1281626224518,75,1549.129448890686
5171.585165083408,4500,1605.044116973877
3740.1981456279755,886,1617.6154489517212
719.013490498066,99,1618.8713359832764
3663.364252448082,413,1623.9209847450256
5131.745384216309,4500,1679.9828152656555
3736.4038820266724,408,1684.9690990447998
5118.46544367075,4500,1741.4517211914062
642.1795954108238,73,1742.4277153015137
4149.9789318442345,496,1748.4929184913635
634.5910634994507,83,1749.545783996582
645.0252957344055,72,1750.4520728588104
1032.0404751896858,106,1751.7755634784698
3742.0952723026276,475,1757.5519642829895
645.9738608598709,85,1758.6148102283478
3739.249590218067,321,1762.5825142860413
5135.5396292209625,4500,1819.8432223796844
640.2824617028236,76,1820.8274059295654
3734.506750226021,394,1825.602626800537
3638.7015146017075,368,1830.061073064804
4249.578421294689,448,1835.5219066143036
3646.290052473545,362,1839.912942647934
3741.1467146873474,460,1845.4286496639252
5081.471333682537,4500,1900.3549590110779
646.9224250912666,86,1901.4837410449982
643.1281622648239,76,1902.464893579483
3747.7866783738136,402,1907.2912952899933
1032.0404723286629,96,1908.4851033687592
5091.905575871468,4500,1964.0485820770264
1031.0919055342674,124,1965.6063675880432
644.0767283439636,71,1966.4796469211578
639.3338968753815,75,1967.4368290901184
3743.9924089312553,819,1979.998199224472
5182.967966079712,4500,2036.280284166336
1032.9890407919884,95,2037.5491561889648
3740.1981437802315,482,2043.4176337718964
4244.835580945015,495,2049.368795633316
5073.88280415535,4500,2106.239202976227
1028.246206343174,104,2107.5653052330017
637.4367649555206,78,2108.5484466552734
3736.4038853645325,364,2113.045735836029
1030.1433405280113,98,2114.2670307159424
5175.379435777664,4500,2170.836348295212
4240.092756211758,443,2179.7595357894897
5157.356667160988,4500,2235.9842875003815
4156.618879854679,471,2241.7329478263855
5127.002543747425,4500,2298.0577540397644
4149.030352830887,492,2304.000423192978
4339.692240357399,683,2312.287802219391
4241.989889442921,498,2318.4219088554382
4339.69224768877,466,2324.0476925373077
1032.0404710769653,101,2325.271325111389
650.7166901826859,74,2326.20565032959
5158.305236816406,4500,2381.2301700115204
1028.246205985546,97,2384.118738889694
4147.133220553398,506,2390.2372245788574
642.1795940995216,73,2391.158507347107
4151.876054883003,460,2396.6849431991577
3737.35244345665,469,2402.4356203079224
4248.6298461556435,485,2408.4712207317352
644.0767279267311,78,2409.464442253113
4241.989888191223,568,2416.403582572937
3632.0615543723106,420,2421.5570385456085
5104.236949503422,4500,2477.3348140716553
4340.6408150196075,482,2483.2856385707855
645.0252934098244,73,2484.2148456573486
5087.162749886513,4500,2542.12397646904
645.0252907276154,75,2543.106809616089
615.6197323799133,84,2544.1526148319244
3640.5986528396606,1194,2558.464109659195
1030.1433415412903,105,2559.761087179184
3740.198151111603,418,2564.756331920624
1029.1947696208954,107,2566.09206366539
1030.1433390974998,93,2567.250982761383
4164.207425057888,615,2574.617835521698
5090.957006573677,4500,2629.748512506485
1028.2462010383606,94,2630.9527316093445
3735.4553106427193,425,2636.0838692188263
639.3338962197304,76,2637.0445981025696
4245.784150660038,469,2644.7762961387634
3742.095281124115,432,2649.981862306595
4153.773196041584,364,2654.389308691025
5152.613833606243,4500,2709.3897528648376
645.0252938270569,74,2710.3809542655945
588.1112981438637,86,2711.4802238941193
3662.41568171978,901,2722.2583417892456
4241.989873886108,338,2726.414915561676
3740.198149085045,462,2732.067937374115
3740.1981487870216,677,2741.2348759174347
649.7681235074997,70,2742.103760957718
4147.1332196593285,390,2746.8002438545227
5121.3111428022385,4500,2804.1214396953583
649.7681242227554,76,2805.092945575714
5129.848242223263,4500,2860.951174259186
639.3338963389397,72,2861.8987097740173
3629.215857028961,309,2865.6228063106537
4148.081780195236,521,2871.8917813301086
645.0252956748009,73,2872.808959722519
4155.670324087143,430,2878.0744199752808
3742.0952773690224,370,2882.573558807373
4150.927484929562,802,2892.2052114009857
4149.030350446701,540,2900.1355605125427
5103.288372218609,4500,2955.4727697372437
3741.146715223789,300,2959.173169851303
5130.796797215939,4500,3014.171103954315
4256.218377351761,391,3018.9722487926483
4253.3726843595505,439,3024.2754485607147
5087.162741363049,4500,3079.3740367889404
1030.143337547779,103,3080.666749715805
5103.28837621212,4500,3135.8194851875305
4244.835577785969,364,3140.2305369377136
3739.2495787739754,296,3143.8451800346375
3746.8381175994873,417,3150.232184410095
4251.475546956062,381,3154.8546948432922
3740.19814234972,363,3159.2860276699066
4243.887014508247,416,3164.3390448093414
1028.2462052106857,144,3166.1207613945007
5105.185501277447,4500,3223.0761568546295
3748.735242187977,466,3228.7071607112885
3734.506736636162,431,3233.92303442955
639.3338971734047,76,3234.8954808712006
5161.150926411152,4500,3290.001250267029
3734.5067504048347,366,3294.5197620391846
3737.3524503707886,1044,3308.181540489197
1028.2462111115456,118,3309.657989025116
3736.403878390789,379,3314.2028348445892
5104.236939549446,4500,3371.620117664337
5173.482304751873,4500,3426.7003931999207
642.1795957684517,74,3427.6425573825836
5141.231029629707,4500,3482.4436299800873
4147.133219242096,434,3487.7152857780457
1032.0404707193375,91,3488.8721685409546
5116.568290472031,4500,3543.851320505142
3742.0952826738358,389,3548.6131529808044
5113.722607314587,4500,3606.7288999557495
3737.352449774742,461,3612.2422943115234
4156.618889212608,605,3619.5239729881287
5065.345693826675,4500,3674.5237324237823
643.1281624436378,73,3675.480139017105
649.7681225538254,71,3676.3657767772675
9686.888883411884,1409,3693.12815785408
9830.61111408472,763,3702.3042426109314
3747.7866794466972,476,3709.5209081172943
5105.185495793819,4500,3766.011601448059
5123.208270907402,4500,3821.1688346862793
3747.7866728901863,960,3832.789844751358
5093.802705705166,4500,3888.035474538803
3744.940973341465,337,3892.0873210430145
5090.008428871632,4500,3947.063398361206
3647.238619029522,331,3951.1169621944427
5140.282447755337,4500,4008.213803768158
646.922424018383,68,4009.136819124222
3747.7866693735123,882,4020.775325536728
5180.122274875641,4500,4075.9350929260254
5152.6138463020325,4500,4131.093475103378
5152.613845407963,4500,4187.92489027977
4152.8246267437935,342,4192.1213438510895
3737.352445423603,355,4196.4164407253265
5131.745351374149,4500,4251.289175271988
5133.642508924007,4500,4306.838866233826
3747.7866772413254,290,4310.355817079544
7731.7664414048195,844,4324.373438835144
