r,l,t
0.0,4500,57.721959352493286
0.0,4500,115.65955686569214
0.0,4500,173.09449553489685
0.0,4500,229.61909008026123
82.52529668807983,4500,383.8380641937256
45.53120177984238,4500,620.2560260295868
480.9232758283615,4500,849.6607327461243
733.2419892549515,4500,1078.680098772049
3744.940976858139,1485,1153.3354349136353
3618.781622648239,4500,1386.4313933849335
649.7681248188019,73,1390.2859551906586
649.7681248188019,73,1394.0724499225616
649.7681248188019,73,1397.9734358787537
649.7681248188019,73,1401.8069105148315
649.7681248188019,73,1405.5793030261993
649.7681248188019,73,1409.4513001441956
649.7681248188019,73,1413.3910102844238
649.7681248188019,73,1417.3854143619537
649.7681248188019,73,1421.3797538280487
649.7681248188019,73,1425.2906646728516
649.7681248188019,73,1429.5029881000519
649.7681248188019,73,1433.395298242569
649.7681248188019,73,1437.2710635662079
649.7681248188019,73,1441.1687071323395
649.7681248188019,73,1445.1150584220886
649.7681248188019,73,1448.8799886703491
649.7681248188019,73,1452.6919617652893
649.7681248188019,73,1456.3961064815521
649.7681248188019,73,1460.1120812892914
649.7681248188019,73,1463.9275176525116
649.7681248188019,73,1467.677194595337
649.7681248188019,73,1471.5687069892883
649.7681248188019,73,1475.3041501045227
649.7681248188019,73,1479.2273762226105
649.7681248188019,73,1482.9426448345184
649.7681248188019,73,1486.9159235954285
649.7681248188019,73,1490.8493022918701
649.7681248188019,73,1494.9320740699768
649.7681248188019,73,1498.9971091747284
649.7681248188019,73,1502.8001611232758
649.7681248188019,73,1506.6693668365479
649.7681248188019,73,1510.5259628295898
649.7681248188019,73,1514.3882122039795
649.7681248188019,73,1518.3081617355347
649.7681248188019,73,1522.0689024925232
649.7681248188019,73,1526.0111100673676
649.7681248188019,73,1529.7879269123077
649.7681248188019,73,1533.607587814331
649.7681248188019,73,1537.584851026535
649.7681248188019,73,1541.4657912254333
649.7681248188019,73,1545.3288180828094
649.7681248188019,73,1548.9768328666687
649.7681248188019,73,1552.7447609901428
649.7681248188019,73,1556.529798746109
649.7681248188019,73,1560.3577888011932
649.7681248188019,73,1564.1982281208038
649.7681248188019,73,1568.172521829605
649.7681248188019,73,1572.15105342865
649.7681248188019,73,1575.8916125297546
649.7681248188019,73,1579.7253730297089
649.7681248188019,73,1583.5972192287445
649.7681248188019,73,1587.3805408477783
649.7681248188019,73,1591.287270307541
649.7681248188019,73,1595.0498123168945
649.7681248188019,73,1598.8183386325836
649.7681248188019,73,1602.7109069824219
649.7681248188019,73,1606.532779455185
649.7681248188019,73,1610.393747329712
649.7681248188019,73,1614.272866487503
649.7681248188019,73,1618.183581352234
649.7681248188019,73,1622.1228432655334
649.7681248188019,73,1625.8683569431305
649.7681248188019,73,1629.7131717205048
649.7681248188019,73,1633.5819337368011
649.7681248188019,73,1637.440196275711
649.7681248188019,73,1641.3629415035248
649.7681248188019,73,1645.2611384391785
649.7681248188019,73,1649.0632591247559
649.7681248188019,73,1652.7910904884338
649.7681248188019,73,1656.8386988639832
649.7681248188019,73,1660.8698868751526
649.7681248188019,73,1664.7149126529694
649.7681248188019,73,1668.5799520015717
649.7681248188019,73,1672.579481601715
649.7681248188019,73,1676.5556457042694
649.7681248188019,73,1680.7427160739899
649.7681248188019,73,1684.7095415592194
649.7681248188019,73,1688.6141753196716
649.7681248188019,73,1692.5971057415009
649.7681248188019,73,1696.3982391357422
649.7681248188019,73,1700.2867465019226
649.7681248188019,73,1704.3274607658386
649.7681248188019,73,1708.3706057071686
649.7681248188019,73,1712.287469625473
649.7681248188019,73,1716.1637513637543
649.7681248188019,73,1720.0234954357147
649.7681248188019,73,1723.8552935123444
649.7681248188019,73,1727.6135876178741
649.7681248188019,73,1731.2747197151184
649.7681248188019,73,1734.926687002182
649.7681248188019,73,1738.5746870040894
649.7681248188019,73,1742.219298839569
649.7681248188019,73,1745.929076910019
649.7681248188019,73,1749.6667408943176
649.7681248188019,73,1753.4904885292053
649.7681248188019,73,1757.2150559425354
649.7681248188019,73,1760.9198942184448
649.7681248188019,73,1764.7376058101654
649.7681248188019,73,1768.4918797016144
649.7681248188019,73,1772.313303232193
649.7681248188019,73,1776.2490487098694
649.7681248188019,73,1780.232334136963
649.7681248188019,73,1783.9281208515167
649.7681248188019,73,1787.9060111045837
649.7681248188019,73,1791.7109932899475
649.7681248188019,73,1795.6188623905182
649.7681248188019,73,1799.528297662735
649.7681248188019,73,1803.2949576377869
642.179595708847,74,1807.112696647644
1032.0404665470123,92,1812.0176153182983
1032.040465593338,92,1816.946744441986
1030.1433327198029,92,1821.7458455562592
1032.9890339374542,93,1826.4327692985535
1030.1433327198029,92,1831.1253499984741
649.7681248188019,73,1834.8283054828644
649.7681248188019,73,1838.5322453975677
649.7681248188019,73,1842.2244415283203
649.7681248188019,73,1846.0337545871735
649.7681248188019,73,1849.7668597698212
649.7681248188019,73,1853.67538356781
649.7681248188019,73,1857.3910548686981
649.7681248188019,73,1861.1062319278717
649.7681248188019,73,1864.8413343429565
649.7681248188019,73,1868.554034948349
649.7681248188019,73,1872.305876493454
649.7681248188019,73,1876.027591228485
649.7681248188019,73,1879.8353400230408
649.7681248188019,73,1883.623244047165
649.7681248188019,73,1887.4118254184723
649.7681248188019,73,1891.3543241024017
649.7681248188019,73,1895.317241191864
649.7681248188019,73,1899.2164859771729
649.7681248188019,73,1903.2105119228363
649.7681248188019,73,1907.0776875019073
649.7681248188019,73,1910.729881286621
1031.091903924942,94,1915.725967168808
642.179595708847,74,1919.6354858875275
649.7681248188019,73,1923.46036362648
649.7681248188019,73,1927.1960899829865
1030.1433339118958,93,1932.107101202011
649.7681248188019,73,1936.0550367832184
649.7681248188019,73,1939.9663622379303
649.7681248188019,73,1943.826553106308
649.7681248188019,73,1947.5593798160553
1030.1433339118958,93,1952.1959376335144
649.7681248188019,73,1956.0030171871185
649.7681248188019,73,1960.1589193344116
649.7681248188019,73,1964.132285118103
649.7681248188019,73,1968.0355961322784
649.7681248188019,73,1971.8495965003967
649.7681248188019,73,1975.7291989326477
1030.14333486557,93,1980.660362958908
649.7681248188019,73,1984.4848835468292
649.7681248188019,73,1988.3653285503387
649.7681248188019,73,1992.2951567173004
649.7681248188019,73,1996.130115032196
649.7681248188019,73,2000.0201025009155
649.7681248188019,73,2003.9599449634552
649.7681248188019,73,2007.8456537723541
649.7681248188019,73,2011.8458466529846
649.7681248188019,73,2015.686192035675
649.7681248188019,73,2019.4387283325195
1030.1433339118958,93,2024.4023983478546
649.7681248188019,73,2028.1715157032013
1030.1433339118958,93,2033.1560173034668
649.7681248188019,73,2037.06604886055
642.1795954704285,74,2040.945350408554
649.7681248188019,73,2044.7290377616882
649.7681248188019,73,2048.5368888378143
649.7681248188019,73,2052.3991100788116
649.7681248188019,73,2056.4183490276337
1029.1947674751282,93,2061.330988407135
1029.1947674751282,93,2066.2284433841705
1030.1433339118958,93,2071.0195264816284
